price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,zipcode,lat,long,sqft_living15,sqft_lot15,year,month,effective_year
585000,4,1.75,1760,5356,1.0,0,0,4,7,920,840,98115,47.679,-122.288,1680,5184,2014,11,1950
310000,2,1.0,1050,8220,1.0,0,0,4,6,780,270,98155,47.7598,-122.316,1340,7651,2014,10,1947
498000,4,2.75,2270,7375,1.0,0,0,4,7,1290,980,98034,47.7222,-122.168,1750,7760,2014,5,1973
360000,4,2.5,2080,4080,1.0,0,0,5,7,1040,1040,98144,47.572,-122.29,1340,4080,2014,7,1962
265000,3,1.5,1780,10196,1.0,0,0,4,7,1270,510,98001,47.3375,-122.291,1320,7875,2015,4,1967
820000,4,2.75,3540,13515,2.0,0,0,3,10,3540,0,98075,47.5945,-121.982,3540,11538,2014,12,1998
419900,4,2.5,2750,5767,2.0,0,0,3,9,2750,0,98038,47.3595,-122.038,2800,5376,2014,7,2005
485000,4,1.0,1150,2560,1.5,0,0,3,7,1150,0,98109,47.6368,-122.355,1890,3000,2014,7,1909
683000,5,1.5,1720,4000,1.5,0,0,3,7,1520,200,98112,47.6197,-122.287,2280,4000,2015,4,1925
320000,3,2.5,1820,1855,2.0,0,0,3,8,1570,250,98166,47.4643,-122.346,1470,6900,2014,7,2008
598000,5,2.25,2890,12478,2.0,0,0,3,9,2890,0,98074,47.6295,-122.052,2570,11880,2014,5,1977
420000,3,2.5,2140,3821,2.0,0,0,3,8,2140,0,98029,47.5541,-121.995,2860,3841,2014,6,2005
535000,3,1.0,1660,5100,1.0,0,0,3,7,1260,400,98136,47.5323,-122.383,1230,5100,2014,8,1957
415000,3,1.75,1910,12596,1.0,0,0,3,7,1340,570,98072,47.7399,-122.099,1550,13310,2014,6,1977
234975,3,1.75,1650,8073,1.0,0,0,3,7,1100,550,98092,47.3187,-122.182,1280,8073,2015,3,1980
299000,4,2.5,1950,3000,2.0,0,0,3,7,1950,0,98178,47.4977,-122.226,1170,6000,2014,9,2002
455000,3,2.25,1790,7500,1.0,0,0,3,7,1390,400,98034,47.7321,-122.198,1940,7192,2015,4,1973
581000,2,1.0,1170,4080,1.0,0,0,4,7,1170,0,98117,47.6784,-122.386,1560,4586,2015,5,1909
960000,5,4.0,3720,15200,2.0,0,0,3,10,3720,0,98075,47.5956,-122.026,4100,19036,2014,5,2005
465000,4,1.75,1470,5350,1.0,0,0,3,7,980,490,98125,47.7048,-122.315,1970,6138,2014,6,1955
485000,3,1.0,1130,5758,1.0,0,0,3,7,960,170,98199,47.6413,-122.401,1510,6000,2014,10,1939
539950,3,2.25,2190,7149,1.0,0,1,4,8,1240,950,98056,47.5243,-122.204,3500,7149,2014,6,1963
212000,3,1.75,1060,7875,1.0,0,0,4,7,1060,0,98092,47.2761,-122.152,1420,7680,2015,1,1986
1050000,4,4.0,4320,8709,2.0,0,0,3,11,3190,1130,98027,47.5369,-122.07,4010,8321,2014,8,2006
245700,3,2.25,1640,8400,1.0,0,0,3,8,1180,460,98032,47.3733,-122.289,1600,8120,2014,6,1968
265000,3,1.75,1680,9769,1.0,0,0,3,8,1340,340,98058,47.4631,-122.126,1730,9686,2015,2,1989
325500,3,1.5,1540,8110,1.0,0,0,4,7,1190,350,98125,47.7329,-122.291,1290,8110,2014,11,1959
499900,4,2.25,2360,7650,1.0,0,0,3,8,1640,720,98155,47.75,-122.292,2320,11060,2015,4,1963
539000,3,1.75,1380,3225,1.0,0,0,4,7,940,440,98103,47.6652,-122.338,1250,3750,2015,3,1915
550000,4,2.5,1670,5116,2.0,0,0,3,8,1670,0,98155,47.7667,-122.33,1910,7210,2015,4,1999
757500,5,2.25,3160,8065,2.0,0,0,3,8,3160,0,98027,47.5678,-122.089,2540,7917,2015,1,1977
501000,2,2.0,1300,2500,1.0,0,0,4,7,770,530,98117,47.6831,-122.373,1160,5000,2015,5,1926
355000,2,1.0,840,6720,1.0,0,0,3,7,840,0,98116,47.5707,-122.396,1250,6720,2014,8,1952
530000,3,2.5,1970,6295,2.0,0,0,3,7,1970,0,98065,47.5158,-121.874,2710,6009,2014,7,2011
170000,2,1.0,810,8424,1.0,0,0,4,6,810,0,98023,47.3286,-122.346,820,8424,2014,6,1959
702000,4,2.5,2810,4922,2.0,0,0,3,9,2810,0,98074,47.614,-122.041,2920,4922,2015,3,2005
395000,3,2.5,2300,8938,2.0,0,0,3,9,2300,0,98031,47.4181,-122.211,2570,9694,2015,3,1989
409000,2,1.75,1480,4000,1.0,0,0,4,6,740,740,98117,47.6916,-122.38,1060,4000,2014,7,1925
435000,4,2.5,2190,6578,2.0,0,0,3,7,2190,0,98065,47.5305,-121.847,2190,5416,2014,10,2004
250000,4,2.0,2600,9000,1.0,0,0,3,8,1410,1190,98032,47.381,-122.299,2600,7200,2014,10,1959
469995,4,2.5,2350,3800,2.0,0,0,3,8,2350,0,98059,47.4783,-122.123,2670,4180,2014,8,2014
315000,3,2.5,2340,6837,2.0,0,0,3,7,2340,0,98030,47.3608,-122.194,1850,6209,2014,7,1992
327000,4,1.0,1620,6000,1.5,0,0,5,7,1620,0,98055,47.4763,-122.206,1310,6000,2014,10,1905
639000,4,2.5,2150,12028,2.0,0,0,4,8,2150,0,98052,47.7224,-122.101,1800,11777,2014,5,1982
702000,3,2.5,2190,8528,1.0,0,0,3,8,1760,430,98033,47.6943,-122.209,2060,9811,2015,5,1991
1443920,4,3.0,3720,5000,2.5,0,0,5,9,2720,1000,98102,47.6282,-122.322,2610,5000,2014,10,1905
699000,3,2.5,2580,8154,1.0,0,0,3,10,2090,490,98177,47.7259,-122.361,1660,8155,2014,7,1997
269000,3,2.25,1420,7297,1.0,0,0,3,7,1130,290,98031,47.4046,-122.194,1730,7419,2015,2,1984
1050000,4,4.25,4390,13833,2.0,0,3,3,10,3320,1070,98029,47.5566,-122.026,3850,11652,2014,6,2003
645000,4,2.25,2070,8720,1.0,0,0,5,8,1360,710,98033,47.6678,-122.182,2180,8510,2014,12,1974
425590,3,2.75,1940,3088,2.0,0,3,3,8,1770,170,98065,47.5185,-121.878,1410,2335,2015,2,2008
400000,4,2.0,2070,10800,2.0,0,0,3,7,2070,0,98011,47.7264,-122.237,1880,10800,2014,12,1982
389000,4,1.0,1520,9800,1.5,0,0,4,7,1520,0,98034,47.7303,-122.236,1540,7700,2014,8,1971
433500,3,1.75,1540,9450,1.0,0,0,4,6,1040,500,98103,47.6985,-122.348,1200,5400,2014,9,1919
429900,4,1.5,1820,17918,1.0,0,0,4,8,1190,630,98056,47.521,-122.179,1890,15241,2015,2,1962
1699000,3,3.25,4160,35153,3.0,0,2,3,12,3690,470,98040,47.5749,-122.214,3290,11533,2014,8,2001
220000,3,1.0,1050,6300,1.0,0,0,3,6,1050,0,98146,47.5128,-122.374,740,6300,2014,6,1942
299000,5,2.5,2220,9360,1.0,0,0,4,7,1110,1110,98058,47.4341,-122.169,1780,7704,2014,6,1968
1050000,3,1.75,2650,5512,2.0,0,0,3,9,2250,400,98112,47.6265,-122.295,1440,5100,2015,2,1984
154200,4,1.0,1310,8640,1.0,0,0,3,6,910,400,98146,47.5104,-122.342,1310,8640,2015,1,1948
269500,2,1.0,800,1200,2.0,0,0,3,7,800,0,98103,47.6969,-122.347,806,1200,2014,8,1999
779000,3,1.75,2320,6400,1.0,0,2,4,8,1420,900,98199,47.6449,-122.389,2540,7680,2014,8,1957
262000,1,0.75,520,12981,1.0,0,0,5,3,520,0,98022,47.2082,-121.995,1340,12233,2015,2,1920
957000,5,3.25,3160,5000,2.0,0,2,3,10,2180,980,98199,47.6464,-122.405,3160,5746,2014,6,2005
340000,2,1.0,1280,9690,1.0,0,0,4,6,640,640,98118,47.5341,-122.279,1630,15884,2014,10,1919
402000,3,3.5,1240,1666,2.0,0,0,3,7,1000,240,98136,47.5496,-122.388,1110,1027,2014,6,2008
520000,3,2.25,2590,9263,1.0,0,0,5,8,1440,1150,98028,47.7691,-122.262,2580,9450,2014,11,1977
618000,4,2.25,2530,8736,1.0,0,0,4,7,1210,1320,98008,47.6049,-122.126,1720,8500,2014,7,1958
750000,4,3.25,2050,5000,2.0,0,0,4,8,1370,680,98112,47.6235,-122.298,1720,5000,2014,6,1987
650000,2,2.5,1470,690,3.0,0,3,3,8,1470,0,98103,47.6523,-122.346,1480,1284,2015,4,2008
268000,3,1.75,1970,10270,1.0,0,0,4,8,1970,0,98032,47.3619,-122.285,1970,8400,2014,6,1966
339000,3,1.5,1740,21980,1.0,0,0,4,7,1740,0,98042,47.3644,-122.132,1400,16100,2015,4,1973
280000,4,2.0,1710,5440,1.0,0,0,5,8,1030,680,98042,47.366,-122.093,1620,6696,2014,10,1976
380000,3,2.0,2010,16736,2.0,0,0,4,6,2010,0,98133,47.7643,-122.352,1890,11477,2014,7,1929
358000,3,2.25,1610,6655,2.0,0,0,4,7,1610,0,98058,47.4296,-122.161,1780,7529,2015,2,1985
1430000,5,4.25,3350,3600,2.0,0,0,3,10,2260,1090,98119,47.6351,-122.364,1810,3600,2014,10,2014
209950,4,1.0,1630,8400,1.0,0,0,3,6,1630,0,98023,47.3052,-122.362,1190,8989,2014,7,1962
260000,3,1.75,1340,8000,1.0,0,0,3,7,1340,0,98038,47.3651,-122.044,1690,8000,2014,8,1980
579000,3,2.5,2300,18540,1.0,0,0,3,8,1800,500,98177,47.7767,-122.369,2460,18540,2014,12,1961
650000,3,1.75,1940,10245,1.0,0,0,3,7,1940,0,98040,47.5833,-122.241,2720,11448,2014,12,1957
562500,5,2.75,2920,6327,2.0,0,0,3,8,2920,0,98059,47.4935,-122.145,2520,5026,2014,9,2007
430000,3,1.75,1200,4500,1.0,0,0,5,7,1200,0,98108,47.5553,-122.316,1340,4500,2014,5,1906
329000,4,2.0,1190,7877,1.5,0,0,5,7,1190,0,98155,47.7538,-122.322,1480,9975,2014,12,1946
550000,3,2.25,2160,37000,1.5,0,0,4,7,1760,400,98052,47.7297,-122.139,2540,37000,2014,9,1933
650000,4,2.0,2850,4497,1.5,0,1,3,7,1730,1120,98144,47.5876,-122.292,2450,6000,2014,11,1910
675000,3,2.25,2070,2833,2.0,0,2,3,8,1490,580,98136,47.5543,-122.398,1940,3794,2014,12,1966
455000,2,1.0,1170,6000,1.0,0,0,4,7,970,200,98103,47.6994,-122.354,2130,6002,2014,6,1941
665000,6,3.0,2480,9720,2.0,0,0,3,8,2480,0,98007,47.6127,-122.145,2480,9200,2015,1,1972
780000,5,2.5,1660,4000,1.5,0,0,5,8,1660,0,98109,47.6452,-122.352,1210,4000,2014,10,1929
450000,4,2.5,1900,9240,1.0,0,0,3,7,1900,0,98007,47.6167,-122.137,2040,8052,2015,4,1962
1005000,5,2.0,2440,3080,2.0,0,0,4,8,2440,0,98112,47.6242,-122.306,1640,3077,2014,11,1910
510000,2,1.75,1210,131115,1.5,0,0,5,7,1210,0,98070,47.4599,-122.45,2020,185565,2014,7,1950
515000,4,2.25,2200,6967,2.0,0,0,3,8,2200,0,98011,47.7355,-122.202,1970,7439,2015,3,1986
263000,3,1.75,1570,7775,2.0,0,0,3,7,1570,0,98031,47.3876,-122.216,1580,8622,2014,5,1982
799950,3,2.25,1860,1386,3.0,0,0,3,9,1860,0,98112,47.6368,-122.279,1680,3080,2014,8,2014
285000,3,2.0,1460,6377,1.0,0,0,3,7,1460,0,98038,47.3679,-122.02,1600,6250,2014,6,1995
449000,4,2.0,1870,6000,1.5,0,0,3,7,1870,0,98125,47.7155,-122.315,1520,7169,2015,1,1956
205000,4,2.0,2200,13320,1.0,0,0,3,6,1100,1100,98168,47.481,-122.292,1330,6099,2014,7,1944
553000,3,1.0,1310,18135,1.0,0,0,3,7,1310,0,98008,47.6065,-122.113,2150,18135,2015,1,1948
1600000,3,2.5,3160,12824,1.0,0,2,4,9,1820,1340,98004,47.6151,-122.216,3390,11985,2014,5,1966
442500,4,2.25,1840,7575,1.0,0,0,4,7,1390,450,98034,47.7328,-122.198,1820,7500,2014,11,1973
1309500,4,4.5,4750,13912,2.0,0,2,3,10,3600,1150,98118,47.5332,-122.265,3600,22124,2014,6,2005
450000,3,2.0,1510,43560,1.0,0,0,3,7,1510,0,98077,47.7218,-122.079,2060,67756,2014,5,1954
760000,3,1.75,1410,15120,1.0,0,0,4,7,1410,0,98004,47.5974,-122.195,1880,15120,2015,4,1950
705000,4,3.0,3150,9318,2.0,0,0,3,9,3150,0,98075,47.5959,-122.018,3150,9318,2014,9,2001
811000,3,1.75,1870,9897,1.0,0,0,4,8,1870,0,98040,47.5505,-122.221,1900,10005,2014,10,1960
414000,3,2.5,1790,3754,2.0,0,0,3,8,1790,0,98065,47.534,-121.841,1800,3393,2014,9,2013
479950,2,2.25,1360,1336,3.0,0,0,3,8,1360,0,98107,47.6714,-122.392,1280,1295,2014,12,2008
2000000,3,3.25,2610,16387,2.0,1,4,3,9,2610,0,98125,47.7175,-122.278,2590,12958,2014,11,2006
367000,3,2.5,2260,93218,1.0,0,2,4,6,2260,0,98022,47.2582,-121.935,2180,111078,2015,3,1998
589000,4,3.0,2440,9600,2.0,0,0,5,7,2440,0,98034,47.7044,-122.2,2290,9600,2014,6,1961
199000,4,1.0,1280,10521,1.5,0,0,3,7,1280,0,98198,47.4215,-122.289,1540,9384,2015,2,1960
608000,3,1.5,2240,3750,1.0,0,0,3,7,1220,1020,98103,47.6624,-122.336,1570,3400,2014,10,1952
495000,3,2.25,1780,8050,1.0,0,0,4,7,1230,550,98052,47.6977,-122.126,1780,7200,2014,10,1979
385000,4,3.0,2253,7700,2.0,0,0,3,7,2253,0,98198,47.3935,-122.3,1786,9052,2015,4,2014
284000,3,2.5,1660,4083,2.0,0,0,3,7,1660,0,98038,47.3595,-122.045,1800,4087,2014,10,2013
437500,3,2.5,2320,36847,2.0,0,2,3,9,2320,0,98045,47.4838,-121.714,2550,35065,2014,5,1992
443600,3,2.5,1430,1056,3.0,0,0,3,8,1430,0,98117,47.684,-122.388,1310,2135,2014,8,2003
790000,3,2.75,2460,3600,2.0,0,0,3,9,2460,0,98029,47.5409,-121.994,2570,3600,2015,3,2007
778000,3,2.25,2260,33080,1.0,0,0,5,9,1690,570,98005,47.6386,-122.183,3020,35291,2014,10,1974
1285000,4,3.5,3440,3800,3.0,0,0,3,9,3440,0,98112,47.6408,-122.307,1760,3800,2014,10,2014
385000,3,1.75,1300,7030,1.0,0,0,3,7,1300,0,98034,47.721,-122.179,1450,7650,2014,6,1968
662500,6,2.25,2450,25600,1.0,0,2,3,7,1340,1110,98008,47.6061,-122.117,1850,10230,2014,9,1957
610000,3,2.5,2260,33042,1.0,0,0,3,9,1660,600,98077,47.7634,-122.086,2600,40115,2014,8,1986
476000,3,2.5,1440,3840,2.0,0,0,3,7,1440,0,98053,47.6873,-122.043,1600,3131,2015,1,2001
365000,3,1.5,1640,8301,1.0,0,0,3,7,1290,350,98155,47.7443,-122.327,1640,8955,2014,8,1958
245000,3,2.5,1730,7442,2.0,0,0,3,7,1730,0,98030,47.3507,-122.178,1630,6458,2014,9,1987
585000,6,3.0,3870,43787,2.0,0,0,3,8,2700,1170,98077,47.7642,-122.098,2600,35381,2015,1,1976
278800,4,2.5,2440,7797,1.0,0,0,3,8,1560,880,98031,47.3895,-122.222,2090,8100,2015,2,1965
285000,4,3.0,1900,7194,2.0,0,0,4,7,1900,0,98042,47.3768,-122.117,1690,7194,2015,2,1988
320000,3,2.5,1680,4584,2.0,0,0,3,7,1680,0,98056,47.4794,-122.182,2160,4621,2014,9,2003
524950,2,2.5,1830,2856,2.0,0,0,3,7,1830,0,98029,47.5524,-121.996,1850,2667,2014,11,2005
725000,4,2.5,3300,28433,2.0,0,0,3,9,3300,0,98059,47.5072,-122.112,3550,26386,2014,7,1998
745000,3,2.75,3010,12432,1.0,0,0,4,8,1890,1120,98052,47.6392,-122.108,2500,12432,2014,7,1970
465000,5,1.5,1830,9000,1.0,0,2,3,7,1030,800,98155,47.7488,-122.292,2610,11175,2014,12,1955
443000,3,2.5,1780,2778,2.0,0,0,3,8,1530,250,98126,47.5487,-122.372,1380,1998,2014,12,2007
210000,3,1.0,1520,8600,1.0,0,0,3,6,1040,480,98168,47.5134,-122.335,1320,8600,2014,7,1951
344200,4,2.5,2490,5812,2.0,0,0,3,8,2490,0,98042,47.3875,-122.155,2690,6012,2014,7,2000
299900,3,2.25,1560,35026,1.0,0,0,3,7,1290,270,98092,47.3023,-122.069,1660,35160,2015,2,1985
615000,3,1.75,2110,56192,1.0,0,0,3,7,1480,630,98072,47.7701,-122.138,2570,46609,2015,1,1978
270000,3,2.25,1760,8287,1.0,0,0,3,7,1160,600,98188,47.4501,-122.274,1290,9587,2014,8,1986
315000,3,1.75,1410,15134,1.0,0,0,3,7,1410,0,98014,47.6931,-121.921,1770,15337,2015,2,1980
645000,3,2.5,2120,196995,1.0,0,1,3,9,2120,0,98070,47.4089,-122.459,1304,92423,2015,3,1997
685000,3,3.25,2030,11070,2.0,0,0,4,8,2030,0,98052,47.6478,-122.117,2450,11070,2014,7,1980
910000,4,2.5,3170,32430,2.5,0,0,3,10,3170,0,98053,47.6903,-122.056,3360,35610,2014,10,1989
354000,3,1.0,1130,11250,1.0,0,0,3,7,1130,0,98034,47.7254,-122.227,1410,11250,2014,12,1965
485000,3,2.5,3110,9015,2.0,0,0,3,9,3110,0,98058,47.4369,-122.147,2650,8960,2014,9,1990
450000,3,2.25,1940,8312,1.0,0,1,4,7,1220,720,98166,47.4556,-122.346,2060,9503,2015,4,1963
750000,3,2.5,2390,6550,1.0,0,2,4,8,1440,950,98116,47.5714,-122.408,2010,6550,2014,5,1955
499000,2,1.0,1450,3090,2.0,0,0,3,7,1450,0,98103,47.6853,-122.356,1450,4635,2014,12,1987
290000,2,1.0,960,4000,1.0,0,0,3,6,960,0,98118,47.5554,-122.267,1210,4000,2014,9,1918
415000,3,1.75,1480,2200,2.0,0,0,3,7,1480,0,98103,47.6969,-122.35,1360,2190,2015,4,1995
271115,2,1.5,830,1325,2.0,0,0,3,7,830,0,98136,47.5472,-122.384,1310,1485,2014,10,2005
662700,2,1.5,2440,6900,2.0,0,0,3,7,1590,850,98118,47.5568,-122.271,1770,6900,2015,4,1910
525000,3,2.75,2100,10362,2.0,0,0,3,9,1510,590,98045,47.4347,-121.417,2240,11842,2014,5,1998
433000,4,1.5,1550,5053,1.0,0,0,4,7,1180,370,98118,47.5499,-122.274,1450,5639,2014,7,1963
490000,3,1.0,960,5750,1.0,0,0,3,7,960,0,98116,47.5689,-122.393,1520,5750,2015,4,1951
310000,3,2.0,2610,12180,1.0,0,0,3,7,1670,940,98146,47.5063,-122.346,1520,12180,2014,10,1918
554500,3,2.25,1880,6565,1.0,0,0,4,8,1420,460,98008,47.6396,-122.113,2060,7280,2015,3,1972
465000,5,2.5,2550,6405,2.0,0,0,3,7,2550,0,98065,47.5191,-121.869,2190,5900,2014,12,2008
355000,4,2.75,3000,5470,2.0,0,0,3,8,3000,0,98038,47.3613,-122.038,2420,4891,2014,7,2005
222900,2,1.0,860,5800,1.0,0,0,5,5,860,0,98056,47.4979,-122.183,900,6000,2014,9,1942
257000,5,2.75,2930,10148,2.0,0,0,3,9,2930,0,98059,47.4887,-122.145,2930,8425,2014,10,2002
479000,2,2.25,1330,1380,2.0,0,0,3,8,1060,270,98116,47.577,-122.41,1580,4802,2014,11,2005
545000,3,1.75,1700,5750,1.5,0,2,5,7,1450,250,98126,47.5643,-122.38,1700,5750,2014,8,1925
870000,4,3.0,4500,21780,2.0,0,2,3,9,3040,1460,98040,47.5581,-122.213,3540,20473,2014,6,1980
1050000,4,3.0,3080,10757,2.0,0,3,5,8,3080,0,98006,47.5671,-122.159,2810,10757,2015,2,1961
745000,4,2.75,2410,5650,1.5,0,0,5,8,2070,340,98116,47.5651,-122.391,1960,5650,2015,3,1909
670000,3,2.5,2050,6420,1.0,0,3,3,8,1730,320,98116,47.5708,-122.405,2370,7620,2014,6,1956
519000,5,2.25,2570,13054,1.0,0,1,3,8,1470,1100,98166,47.4487,-122.352,2570,19807,2014,7,1992
1648000,4,3.5,4610,12500,2.0,0,2,3,11,4610,0,98033,47.6508,-122.203,2340,11538,2014,8,2003
725000,3,2.5,2620,28703,1.0,0,0,3,10,2620,0,98052,47.7238,-122.114,2950,30290,2014,12,1985
560000,4,2.5,2520,11240,1.0,0,0,3,8,1440,1080,98052,47.6748,-122.144,2360,10345,2014,10,1977
643403,3,2.5,2350,9648,1.0,0,0,4,9,2350,0,98008,47.6156,-122.108,2320,10512,2014,9,1966
415000,3,1.5,1510,16800,1.0,0,0,5,8,1510,0,98133,47.751,-122.338,1560,7276,2015,4,1956
445000,3,2.5,1740,22089,1.0,0,0,4,8,1130,610,98070,47.3948,-122.435,2000,24925,2015,3,1977
184500,2,1.0,720,5880,1.0,0,0,3,6,720,0,98178,47.5056,-122.27,1440,7200,2015,1,1940
530000,4,2.75,2450,15002,1.0,0,0,5,9,2450,0,98166,47.4268,-122.343,2650,15055,2014,5,1974
547000,5,2.5,2200,4080,1.5,0,0,5,7,1420,780,98103,47.6872,-122.35,1300,4080,2014,6,1916
620000,3,1.75,2140,5808,1.0,0,1,3,7,1070,1070,98119,47.6435,-122.373,1930,5808,2015,1,1947
319900,3,1.5,1140,20383,1.0,0,0,3,7,840,300,98045,47.4755,-121.758,1200,15625,2014,8,1985
1065000,5,3.25,3370,7947,2.0,0,0,3,10,3370,0,98033,47.6906,-122.202,2040,7900,2014,6,2001
750000,2,2.0,2180,21392,2.0,0,0,3,8,2180,0,98034,47.7162,-122.246,2890,22000,2014,10,1979
274000,5,1.0,1680,9383,1.0,0,0,3,7,1400,280,98155,47.7523,-122.311,1680,9458,2014,8,1929
652600,4,2.5,2220,5900,2.0,0,0,3,8,2220,0,98117,47.6956,-122.36,1620,5900,2015,1,2014
229950,3,0.75,1030,12700,1.0,0,0,4,5,1030,0,98032,47.3877,-122.236,1140,6955,2015,2,1944
492000,2,1.0,1290,6272,1.0,0,0,4,6,890,400,98115,47.6777,-122.305,1260,5376,2014,7,1922
205000,4,1.75,1850,65340,1.5,0,0,4,7,1850,0,98042,47.3468,-122.11,1750,40946,2014,10,1972
540500,5,3.75,3090,7415,2.0,0,0,3,8,3090,0,98166,47.435,-122.329,2790,7425,2014,6,2014
523460,5,1.75,1890,5000,1.5,0,0,3,7,1090,800,98107,47.6711,-122.372,1610,5000,2014,6,1906
425000,3,2.75,3370,13929,2.0,0,0,3,9,2650,720,98092,47.3411,-122.197,2150,14048,2015,5,1986
205000,3,1.75,1170,8239,1.0,0,0,3,7,1170,0,98042,47.3679,-122.088,1180,7866,2014,7,1981
988000,3,1.75,2190,3800,1.5,0,2,4,8,2190,0,98109,47.643,-122.355,2190,3880,2015,1,1923
384000,3,2.25,1430,800,2.0,0,0,3,8,1140,290,98136,47.5477,-122.388,1430,1387,2014,7,2011
611000,3,2.5,2134,1984,2.5,0,0,3,8,2134,0,98027,47.5402,-122.027,2170,1984,2014,5,2008
575000,3,1.75,1720,5956,2.0,0,0,3,8,1720,0,98033,47.6875,-122.202,1620,9324,2014,10,1981
415000,4,1.75,2230,9625,1.0,0,4,3,8,1180,1050,98178,47.508,-122.244,2300,8211,2014,12,1955
635000,4,1.75,2460,7560,2.0,0,0,4,8,2460,0,98177,47.7256,-122.367,2760,8918,2014,8,1952
754950,3,2.5,2610,7256,2.0,0,0,3,9,2610,0,98033,47.695,-122.18,2610,7206,2014,5,2014
562000,4,2.25,2170,7007,1.0,0,0,3,8,1540,630,98033,47.672,-122.169,2040,7700,2014,10,1974
365000,3,2.5,2200,9696,2.0,0,0,3,8,2200,0,98031,47.4197,-122.205,2200,9915,2014,8,1987
430000,4,3.75,2452,4800,2.0,0,0,3,7,2452,0,98055,47.4744,-122.213,1180,4800,2014,10,1994
746300,3,1.75,2060,5721,1.0,0,2,3,9,1140,920,98136,47.5268,-122.388,2060,8124,2014,8,1964
510000,6,4.5,3300,7480,2.0,0,0,3,8,3300,0,98052,47.6796,-122.104,2470,7561,2014,7,1980
1545000,4,2.25,2640,3000,2.0,0,0,3,7,2080,560,98109,47.6313,-122.344,1910,3000,2015,4,1908
450000,3,2.5,1530,762,2.0,0,0,3,8,1050,480,98119,47.642,-122.374,1610,1482,2014,7,2007
310000,3,1.0,1990,7173,1.0,0,0,3,7,1990,0,98034,47.7116,-122.213,1320,7245,2014,9,1972
399950,3,1.0,1040,9600,1.0,0,0,3,7,1040,0,98053,47.6738,-122.063,1370,10889,2014,12,1978
355000,3,2.25,2550,9674,1.0,0,0,3,7,1850,700,98178,47.4856,-122.247,2240,9674,2014,11,1959
368888,3,1.5,1490,12186,1.0,0,0,4,7,1490,0,98155,47.7739,-122.322,1180,14285,2015,4,1950
615500,3,1.5,1810,5080,1.0,0,0,3,7,1030,780,98115,47.6819,-122.287,1780,7620,2015,1,1958
